country,infl,govexp_growth
AUS,4.67964304140765,6.05395455695221
AUT,3.36349928649553,3.91315016155768
BEL,3.4987082185463,4.18997397901166
CAN,3.72237605793117,4.52034024388038
CZE,4.88057222380669,5.39965356278479
DNK,4.37727679188963,4.74085862892163
EST,9.81683652943536,8.29885083482833
FIN,4.52614135055473,5.9136150589978
FRA,4.03837329166039,4.8066087563671
DEU,2.68913716761342,3.22827351284624
GRC,7.73458926962815,9.06383410367959
HUN,9.12558042516922,8.22284598505046
ISL,14.8078938226684,17.6555015536489
IRL,5.22205780694372,5.15211387292652
ISR,28.1635795686315,32.690248298047
ITA,5.60960218071727,6.80615736224685
JPN,2.93064747455569,3.11158517953381
KOR,7.50347600596158,8.78070575427329
LVA,38.1490172090333,4.43740075716456
LUX,3.2553773770762,5.17824538900666
MEX,18.2688560500156,20.1431461522967
NLD,3.40624630509742,3.92427418018782
NZL,5.39479547318806,6.60985517943022
NOR,4.41713273390248,5.74308475870249
POL,27.7725512335667,4.89097096498933
PRT,7.80621453915047,9.2970292886109
SVK,5.66518033651016,4.6523501078986
SVN,68.4313986771927,16.3865729839755
ESP,6.22105435740548,7.87843739989076
SWE,4.3705610268793,5.61332861997524
CHE,2.34987870458693,2.94765244592407
TUR,32.8429197025172,35.6722013160681
GBR,5.0924173265195,5.7781710551329
USA,3.75770447911781,2.9838466349884
